The Basic Tools of the Deep Life Sciences,The_Basic_Tools_of_the_Deep_Life_Sciences.ipynb
Working With Datasets,Working_With_Datasets.ipynb
An Introduction to MoleculeNet,An_Introduction_To_MoleculeNet.ipynb
Molecular Fingerprints,Molecular_Fingerprints.ipynb
Creating Models with Tensorflow and Pytorch,Creating_Models_with_TensorFlow_and_PyTorch.ipynb
Introduction to Graph Convolutions,Introduction_to_Graph_Convolutions.ipynb
Going Deeper on Molecular Featurizations,Going_Deeper_on_Molecular_Featurizations.ipynb
Working With Splitters,Working_With_Splitters.ipynb
Advanced Model Training,Advanced_Model_Training.ipynb
Creating a high fidelity model from experimental data,Creating_a_high_fidelity_model_from_experimental_data.ipynb
Putting Multitask Learning to Work,Putting_Multitask_Learning_to_Work.ipynb
Modeling Protein Ligand Interactions,Modeling_Protein_Ligand_Interactions.ipynb
Modeling Protein Ligand Interactions with Atomic Convolutions,Modeling_Protein_Ligand_Interactions_With_Atomic_Convolutions.ipynb
Conditional Generative Adversarial Networks,Conditional_Generative_Adversarial_Networks.ipynb
Training a Generative Adversarial Network on MNIST,Training_a_Generative_Adversarial_Network_on_MNIST.ipynb
Advanced model training using Hyperopt,Advanced_model_training_using_hyperopt.ipynb
Introduction to Gaussian Processes,Introduction_to_Gaussian_Processes.ipynb
Pytorch-Lightning Integration for DeepChem Models,PytorchLightning_Integration.ipynb
Molecular Fingerprints,Molecular_Fingerprints.ipynb
Going Deeper on Molecular Featurizations,Going_Deeper_on_Molecular_Featurizations.ipynb
Learning Unsupervised Embeddings for Molecules,Learning_Unsupervised_Embeddings_for_Molecules.ipynb
Synthetic Feasibility Scoring,Synthetic_Feasibility_Scoring.ipynb
Atomic Contributions for Molecules,Atomic_Contributions_for_Molecules.ipynb
Interactive Model Evaluation with Trident Chemwidgets,Interactive_Model_Evaluation_with_Trident_Chemwidgets.ipynb
Transfer Learning with ChemBERTa Transformers,Transfer_Learning_With_ChemBERTa_Transformers.ipynb
Training a Normalizing Flow on QM9,Training_a_Normalizing_Flow_on_QM9.ipynb
Large Scale Chemical Screens,Large_Scale_Chemical_Screens.ipynb
Introduction to Molecular Attention Transformer,Introduction_to_Molecular_Attention_Transformer.ipynb
Generating Molecules with MolGAN,Generating_molecules_with_MolGAN.ipynb
Introduction to GROVER,Introduction_to_GROVER.ipynb
Protein Deep Learning,Protein_Deep_Learning.ipynb
Modeling Protein Ligand Interactions,Modeling_Protein_Ligand_Interactions.ipynb
Modeling Protein Ligand Interactions with Atomic Convolutions,Modeling_Protein_Ligand_Interactions_With_Atomic_Convolutions.ipynb
Exploring Quantum Chemistry with GDB1k,Exploring_Quantum_Chemistry_with_GDB1k.ipynb
Finding ground state energy of molecules with DeepQMC,DeepQMC_tutorial.ipynb
Introduction to BioInformatics,Introduction_to_Bioinformatics.ipynb
Multisequence Alignments,Multisequence_Alignments.ipynb
Scanpy,Scanpy.ipynb
Deep probabilistic analysis of omics data,Deep_probabilistic_analysis_of_single-cell_omics_data.ipynb
Introduction to Material Science,Introduction_To_Material_Science.ipynb
Using Reinforcement Learning to Play Pong,Using_Reinforcement_Learning_to_Play_Pong.ipynb
Introduction to Model Interpretability,Introduction_to_Model_Interpretability.ipynb
Uncertainty in Deep Learning,Uncertainty_In_Deep_Learning.ipynb
Physics Informed Neural Networks Burgers Equation,Physics_Informed_Neural_Networks.ipynb 
Introducing_JaxModel_and_PINNModel,Introducing_JaxModel_and_PINNModel.ipynb
About_nODE_Using_Torchdiffeq_in_Deepchem,About_nODE_Using_Torchdiffeq_in_Deepchem.ipynb
